Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
99,671,102,Jul 30,NYY,,KCR,W8-2,CG,5,3,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.300,.382,.676,1.059,2,.44,0.177,.09,0.02%,2.48,25.00,34.40,DH
100,672,103,Jul 31,NYY,,KCR,L6-8,CG,5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.297,.383,.671,1.054,2,1.55,0.021,.26,0.00%,0.17,6.00,9.20,CF RF
101,673,104,Aug 1,NYY,,SEA,W7-2,CG,4,4,2,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.299,.384,.680,1.063,2,.67,0.223,.14,0.03%,2.23,23.00,31.40,RF
102,674,105,Aug 2,NYY,,SEA,L6-8,CG,5,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,.298,.386,.676,1.062,2,.94,0.037,.19,0.00%,0.32,6.00,9.00,DH
103,675,107 (1),Aug 5,NYY,@,STL,L3-4,CG,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.300,.389,.674,1.063,2,1.53,-0.003,.36,0.00%,0.48,17.00,21.40,RF
104,676,108,Aug 6,NYY,@,STL,L0-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.299,.387,.670,1.057,2,1.58,-0.118,.42,-0.02%,-0.47,3.00,3.00,RF
105,677,109,Aug 7,NYY,@,STL,L9-12,CG,6,5,0,2,1,0,0,4,1,1,2,0,0,0,0,0,0,0,.301,.389,.669,1.058,2,1.89,0.358,.58,0.07%,3.19,18.00,26.00,RF
106,678,110,Aug 8,NYY,@,SEA,W9-4,CG,5,4,2,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,.303,.391,.677,1.068,2,.59,0.101,.19,0.02%,1.87,23.00,30.90,RF
107,679,111,Aug 9,NYY,@,SEA,L0-1,CG(13),5,3,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,.303,.393,.675,1.068,2,1.72,0.059,.45,0.01%,0.60,7.00,9.00,RF
108,680,112,Aug 10,NYY,@,SEA,L3-4,CG,4,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.304,.396,.681,1.078,2,.66,0.166,.18,0.03%,1.17,18.00,24.70,RF
109,681,113,Aug 12,NYY,@,BOS,L2-3,CG(10),5,2,2,1,0,0,1,1,2,0,1,1,0,0,0,0,1,0,.305,.400,.688,1.088,2,1.54,0.188,.44,0.03%,1.79,27.00,36.90,RF
110,682,114,Aug 13,NYY,@,BOS,W3-2,CG,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.303,.401,.684,1.086,2,1.04,0.020,.35,0.00%,0.12,4.00,6.00,RF
111,683,115,Aug 14,NYY,@,BOS,L0-3,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.300,.398,.678,1.076,2,.94,-0.093,.26,-0.02%,-0.79,0.00,0.00,RF
112,684,116,Aug 15,NYY,,TBR,L0-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,.300,.397,.674,1.071,2,1.78,-0.273,.69,-0.06%,-1.41,3.00,3.00,RF
113,685,117,Aug 16,NYY,,TBR,L1-3,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.297,.394,.667,1.061,2,.98,-0.102,.50,-0.03%,-0.75,0.00,0.00,CF
114,686,118,Aug 17,NYY,,TBR,W8-7,CG(10),5,3,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.297,.396,.667,1.063,2,1.87,0.158,1.09,0.06%,1.42,15.00,21.90,CF RF
115,687,119,Aug 18,NYY,,TOR,L2-9,CG,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.295,.393,.661,1.054,2,.73,-0.064,.33,-0.02%,-0.99,2.00,3.50,RF
116,688,120,Aug 19,NYY,,TOR,L0-4,CG,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.293,.392,.658,1.050,2,.48,0.016,.29,0.01%,0.47,2.00,3.00,CF
117,689,121,Aug 20,NYY,,TOR,L2-5,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.295,.393,.657,1.050,3,1.08,0.019,.78,0.01%,0.34,11.00,12.00,RF
118,690,122,Aug 21,NYY,,TOR,W4-2,CG,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.293,.392,.652,1.044,2,.85,-0.039,.76,-0.02%,-0.36,2.00,3.00,DH
119,691,123,Aug 22,NYY,,NYM,W4-2,CG,4,4,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.295,.393,.658,1.050,2,.67,0.075,.38,0.03%,0.60,17.00,21.70,CF
120,692,124,Aug 23,NYY,,NYM,W4-2,CG,4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,1,0,.297,.394,.663,1.056,3,.89,0.207,.46,0.06%,1.84,24.00,31.20,CF RF
121,693,125,Aug 25,NYY,@,OAK,W13-4,GS-7,5,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.296,.394,.659,1.053,2,.56,-0.025,.29,-0.01%,-0.25,7.00,9.50,CF
122,694,126,Aug 26,NYY,@,OAK,W3-2,CG,5,2,1,1,0,0,1,3,3,1,0,0,0,0,0,0,0,0,.297,.397,.665,1.063,2,1.05,0.280,.52,0.08%,2.61,24.00,34.70,CF
123,695,127,Aug 27,NYY,@,OAK,L2-3,CG(11),4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.295,.396,.661,1.057,2,1.49,0.311,.52,0.07%,-0.91,2.00,3.00,CF
124,696,128,Aug 28,NYY,@,OAK,L1-4,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.293,.393,.655,1.048,2,.87,-0.082,.30,-0.02%,-0.80,0.00,0.00,RF
125,697,129,Aug 29,NYY,@,LAA,L3-4,CG,4,2,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,.294,.396,.661,1.057,2,1.13,0.107,.46,0.03%,1.07,18.00,24.70,CF
126,698,130,Aug 30,NYY,@,LAA,W7-4,CG,5,5,2,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.297,.398,.667,1.064,3,.68,0.208,.32,0.06%,2.80,26.00,34.90,CF
127,699,131,Aug 31,NYY,@,LAA,L2-3,CG,4,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,.296,.399,.664,1.062,3,1.79,0.178,.87,0.05%,0.49,9.00,12.00,RF
128,700,132,Sep 2,NYY,@,TBR,L0-9,CG,4,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.294,.398,.661,1.059,2,1.25,0.027,1.08,0.01%,0.31,2.00,3.00,RF CF
129,701,133,Sep 3,NYY,@,TBR,L1-2,CG,4,4,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.296,.399,.666,1.065,1,1.09,0.107,1.23,0.07%,1.07,17.00,21.70,CF
130,702,134,Sep 4,NYY,@,TBR,W2-1,CG,5,5,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.299,.401,.674,1.074,1,.90,0.169,1.20,0.14%,1.38,24.00,30.90,CF RF
131,703,135,Sep 5,NYY,,MIN,W5-2,CG,4,3,2,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,.302,.403,.682,1.085,2,.78,0.275,.57,0.12%,1.93,25.00,34.40,CF RF
132,704,136,Sep 7 (1),NYY,,MIN,W5-4,CG(12),5,3,1,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,.302,.405,.686,1.091,2,1.78,0.050,1.33,0.02%,1.04,18.00,24.70,DH
133,705,137,Sep 7 (2),NYY,,MIN,W7-1,CG,5,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,.301,.407,.683,1.090,2,.56,0.022,.36,0.01%,0.43,11.00,15.00,DH
134,706,138,Sep 8,NYY,,MIN,L3-4,CG,5,4,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.302,.408,.684,1.092,2,2.40,0.142,1.40,0.05%,1.33,12.00,15.20,RF
135,707,139,Sep 9,NYY,,TBR,L2-4,CG,5,4,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,.304,.410,.682,1.092,1,.81,0.074,.91,0.05%,0.97,10.00,12.50,CF
136,708,140,Sep 10,NYY,,TBR,W10-3,GS-8,4,4,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.307,.412,.683,1.095,1,.36,0.063,.53,0.06%,1.34,13.00,15.70,CF
137,709,141,Sep 11,NYY,,TBR,W10-4,GS-9,5,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.307,.410,.679,1.090,1,.44,0.021,.50,0.02%,-0.52,7.00,9.70,CF
138,710,142,Sep 13,NYY,@,BOS,W7-6,CG(10),5,4,3,3,0,0,2,2,1,1,0,0,0,0,0,0,0,1,.310,.414,.692,1.105,1,1.89,0.386,1.03,0.13%,1.73,35.00,46.60,CF
